material,formula,n_atoms,energy_eV,energy_per_atom_eV,K_GPa,G_GPa,E_GPa,poisson_ratio,KG_ratio,ductile_brittle,time_seconds
mp-1111256,K2 Li1 Er1 Cl6,10,-40.5381,-4.0538,30.83,10.03,27.14,0.3532,3.07,Ductile,0.82
mp-1111257,K2 Li1 La1 Cl6,10,-40.9038,-4.0904,24.88,7.13,19.53,0.3692,3.49,Ductile,1.01
mp-1111259,K2 Li1 Dy1 Cl6,10,-40.5312,-4.0531,34.78,9.45,25.99,0.3755,3.68,Ductile,1.11
mp-1111446,Cs2 Li1 Er1 Cl6,10,-40.6035,-4.0604,31.6,10.79,29.07,0.3467,2.93,Ductile,0.99
mp-1111657,K2 Li1 Tm1 Cl6,10,-40.3861,-4.0386,39.93,10.46,28.85,0.3796,3.82,Ductile,1.16
mp-1111658,K2 Li1 Tl1 F6,10,-42.5427,-4.2543,63.37,22.96,61.46,0.3384,2.76,Ductile,0.91
mp-1111671,K2 Li1 In1 F6,10,-45.8858,-4.5886,59.67,28.37,73.47,0.2948,2.1,Ductile,1.03
mp-1111833,Cs2 Li1 Y1 Br6,10,-38.2515,-3.8252,23.52,6.79,18.58,0.3683,3.46,Ductile,1.24
mp-1111836,Cs2 Li1 Pr1 Cl6,10,-40.6145,-4.0615,22.71,8.1,21.73,0.3406,2.8,Ductile,1.23
mp-1111841,Cs2 Li1 Nd1 Cl6,10,-40.6034,-4.0603,22.95,8.25,22.1,0.3395,2.78,Ductile,1.14
mp-1111851,Cs2 Li1 Bi1 Cl6,10,-34.5869,-3.4587,30.11,9.06,24.69,0.3633,3.32,Ductile,0.98
mp-1111927,K2 Li1 Cr1 F6,10,-51.8425,-5.1843,67.6,34.49,88.43,0.282,1.96,Ductile,1.01
mp-1111928,K2 Li1 As1 F6,10,-45.7556,-4.5756,49.9,23.7,61.39,0.295,2.11,Ductile,1.01
mp-1111932,K2 Li1 Sc1 Cl6,10,-41.7374,-4.1737,31.36,11.05,29.67,0.3423,2.84,Ductile,1.24
mp-1112185,K2 Li1 Fe1 F6,10,-48.76,-4.876,59.39,27.54,71.56,0.2992,2.16,Ductile,0.99
mp-1112669,Cs2 Li1 Tb1 Cl6,10,-40.6988,-4.0699,29.54,10.18,27.39,0.3454,2.9,Ductile,0.86
mp-1112671,Cs2 Li1 Sm1 Cl6,10,-40.6129,-4.0613,23.36,8.97,23.85,0.3299,2.61,Ductile,0.79
mp-1112681,Cs2 Li1 La1 Cl6,10,-41.0955,-4.1096,21.43,7.58,20.35,0.3418,2.83,Ductile,1.0
mp-1112998,Cs2 Li1 Tm1 Cl6,10,-40.4263,-4.0426,44.25,12.99,35.51,0.3663,3.41,Ductile,0.88
mp-1113004,Cs2 Li1 Sc1 Cl6,10,-41.6588,-4.1659,31.53,11.66,31.14,0.3354,2.7,Ductile,1.3
mp-1113016,Cs2 Li1 In1 F6,10,-45.0759,-4.5076,55.21,25.47,66.23,0.3001,2.17,Ductile,0.96
mp-1113018,Cs2 Li1 Dy1 Cl6,10,-40.6331,-4.0633,33.37,10.27,27.94,0.3605,3.25,Ductile,0.91
mp-1113693,Rb2 Li1 Tl1 F6,10,-42.2762,-4.2276,59.56,21.85,58.42,0.3365,2.73,Ductile,0.97
mp-1113732,Rb2 Li1 Ga1 F6,10,-46.4236,-4.6424,64.49,31.3,80.81,0.2912,2.06,Ductile,0.96
mp-1113733,Rb2 Li1 In1 F6,10,-45.4758,-4.5476,62.43,27.18,71.2,0.3099,2.3,Ductile,0.98
mp-1113748,Rb2 Li1 As1 F6,10,-45.2488,-4.5249,44.97,22.19,57.16,0.2881,2.03,Ductile,0.98
mp-1113928,Rb2 Li1 Sc1 Cl6,10,-41.6405,-4.164,31.82,11.64,31.14,0.3369,2.73,Ductile,1.25
mp-1113971,Rb2 Li1 Tm1 Cl6,10,-40.3625,-4.0363,39.38,11.44,31.28,0.3676,3.44,Ductile,1.12
mp-1113973,Rb2 Li1 Sm1 Cl6,10,-40.4567,-4.0457,26.11,8.78,23.69,0.3488,2.97,Ductile,1.04
mp-1113974,Rb2 Li1 Tb1 Cl6,10,-40.5901,-4.059,31.44,10.26,27.76,0.3528,3.06,Ductile,0.98
mp-1113975,Rb2 Li1 La1 Cl6,10,-40.9269,-4.0927,23.63,7.71,20.86,0.3529,3.07,Ductile,0.96
mp-1113980,Rb2 Li1 Dy1 Cl6,10,-40.5202,-4.052,33.75,10.35,28.18,0.3608,3.26,Ductile,0.97
mp-1113981,Rb2 Li1 Er1 Cl6,10,-40.5077,-4.0508,33.02,10.69,28.96,0.3539,3.09,Ductile,0.93
mp-1114241,Na2 Li1 Cr1 F6,10,-51.4478,-5.1448,77.83,34.48,90.12,0.307,2.26,Ductile,1.61
mp-1114242,Na2 Li1 Ga1 F6,10,-46.4954,-4.6495,78.18,37.94,97.97,0.2911,2.06,Ductile,1.01
mp-1139957,Li4 Y4 Tl8 Cl24,40,-164.3073,-4.1077,31.23,7.76,21.5,0.3852,4.02,Ductile,1.84
mp-1139958,Li4 Y4 Tl8 Cl24,40,-163.6936,-4.0923,33.84,6.64,18.71,0.4079,5.09,Ductile,0.9
mp-1147554,Li2 La2 S2 O2,8,-51.511,-6.4389,69.4,24.66,66.15,0.3411,2.81,Ductile,1.0
mp-1147619,Li6 Y2 Br12,20,-77.5166,-3.8758,23.8,8.83,23.58,0.3349,2.69,Ductile,1.52
mp-1172964,Li4 Ni2 P2 O8 F2,18,-106.5101,-5.9172,122.62,65.79,167.42,0.2724,1.86,Ductile,5.79
mp-1172969,Li4 Fe2 P2 O8 F2,18,-114.3732,-6.3541,124.85,59.95,155.03,0.293,2.08,Ductile,8.8
mp-1173008,Li4 V2 P2 O8 F2,18,-119.1501,-6.6195,118.78,58.83,151.49,0.2874,2.02,Ductile,8.41
mp-1176343,Na10 Li2 Fe4 P4 C4 O28,52,-338.0456,-6.5009,115.0,59.56,152.38,0.2791,1.93,Ductile,4.68
mp-1176351,Na3 Li3 Fe2 P2 C2 O14,26,-170.8126,-6.5697,118.94,61.34,157.03,0.28,1.94,Ductile,2.69
mp-1176354,Na6 Li6 Fe4 P4 C4 O28,52,-341.6102,-6.5694,119.02,60.53,155.28,0.2826,1.97,Ductile,4.32
mp-1176362,Na6 Li6 Fe4 P4 C4 O28,52,-341.4938,-6.5672,124.65,62.68,161.05,0.2847,1.99,Ductile,3.68
mp-1176367,Na6 Li6 Mn4 P4 C4 O28,52,-351.025,-6.7505,112.9,58.08,148.73,0.2805,1.94,Ductile,2.69
mp-1176381,Na4 Li2 Fe2 P2 C2 O14,26,-169.9065,-6.5349,114.04,58.91,150.78,0.2796,1.94,Ductile,2.19
mp-1176400,Na8 Li4 Fe4 P4 C4 O28,52,-339.8344,-6.5353,119.84,60.79,155.99,0.2831,1.97,Ductile,2.68
mp-1176411,Na8 Li4 Fe4 P4 C4 O28,52,-339.7851,-6.5343,114.72,58.6,150.23,0.2818,1.96,Ductile,2.5
mp-1176528,Li2 V2 F12,16,-82.696,-5.1685,89.16,31.2,83.83,0.3433,2.86,Ductile,0.98
mp-1176546,Na8 Li4 Mn4 P4 C4 O28,52,-349.5382,-6.7219,111.93,57.25,146.73,0.2815,1.96,Ductile,3.24
mp-1176585,Na10 Li2 Fe4 P4 C4 O28,52,-338.1096,-6.5021,114.01,59.4,151.84,0.278,1.92,Ductile,2.66
mp-1176587,Li8 Si8 Bi8 O32,56,-364.6993,-6.5125,101.75,49.02,126.72,0.2924,2.08,Ductile,2.89
mp-1176610,Li4 Ni4 P12 O36,56,-376.71,-6.727,157.54,96.91,241.25,0.2448,1.63,Brittle,2.59
mp-1176630,Li4 Mn4 F12,20,-115.1277,-5.7564,66.33,22.53,60.71,0.3475,2.94,Ductile,0.98
mp-1176634,Li2 Mn2 F6,10,-56.8998,-5.69,49.31,15.38,41.8,0.3587,3.21,Ductile,0.94
mp-1176635,Li2 Mn2 F6,10,-57.3392,-5.7339,78.82,29.26,78.11,0.3348,2.69,Ductile,1.33
mp-1176636,Li4 Mn4 F12,20,-114.5683,-5.7284,64.52,22.55,60.59,0.3435,2.86,Ductile,1.4
mp-1176693,Li2 Fe2 F8,12,-61.4379,-5.1198,75.12,30.98,81.7,0.3187,2.42,Ductile,1.79
mp-1176695,Li1 Fe1 F4,6,-30.4838,-5.0806,60.25,28.61,74.11,0.295,2.11,Ductile,1.09
mp-1176698,Li2 Fe2 F6,10,-52.4883,-5.2488,82.34,24.06,65.76,0.3669,3.42,Ductile,1.07
mp-1176699,Li4 Fe4 P4 O16,28,-189.6897,-6.7746,114.68,60.61,154.6,0.2753,1.89,Ductile,7.38
mp-1176705,Li4 Fe4 F12,20,-104.6078,-5.2304,72.0,8.92,25.7,0.4405,8.07,Ductile,1.52
mp-1176709,Li4 Fe4 F12,20,-105.0804,-5.254,75.06,20.3,55.87,0.3759,3.7,Ductile,1.52
mp-1176718,Li6 Fe6 F18,30,-156.7878,-5.2263,72.88,24.96,67.2,0.3463,2.92,Ductile,2.54
mp-1176739,Li4 Fe8 F20,32,-170.4888,-5.3278,63.29,20.57,55.68,0.3534,3.08,Ductile,2.31
mp-1176761,Li4 Fe4 P4 O16,28,-189.3554,-6.7627,147.72,74.37,191.06,0.2844,1.99,Ductile,1.54
mp-1176762,Li6 Mn6 P18 O54,84,-601.4978,-7.1607,129.1,81.4,201.78,0.2395,1.59,Brittle,28.14
mp-1176778,Li4 Co4 P4 O16,28,-185.1985,-6.6142,110.12,56.56,144.87,0.2808,1.95,Ductile,1.08
mp-1176794,Li2 Cr2 P4 O14,22,-157.3969,-7.1544,129.57,78.13,195.17,0.2489,1.66,Brittle,2.31
mp-1176818,Li2 Bi2 P8 O24,36,-247.2744,-6.8687,119.85,74.17,184.45,0.2435,1.62,Brittle,3.05
mp-1176831,Li8 Mn1 Fe7 B8 O24,48,-334.2826,-6.9642,104.06,52.09,133.93,0.2855,2.0,Ductile,1.98
mp-1176833,Li8 Mn1 Fe7 B8 O24,48,-334.2796,-6.9642,104.19,52.23,134.26,0.2852,1.99,Ductile,2.69
mp-1176836,Li8 Mn1 Fe7 B8 O24,48,-334.3988,-6.9666,106.33,55.13,141.03,0.279,1.93,Ductile,2.19
mp-1176839,Li8 Mn1 Fe7 B8 O24,48,-334.3939,-6.9665,106.34,56.04,143.01,0.2759,1.9,Ductile,1.68
mp-1176841,Li32 Fe4 O16 F8,60,-299.3259,-4.9888,66.15,38.42,96.57,0.2567,1.72,Brittle,2.04
mp-1176891,Li8 Mn3 Fe5 B8 O24,48,-339.1532,-7.0657,101.96,53.2,135.96,0.2778,1.92,Ductile,2.44
mp-1177101,Li15 Fe3 O3 F15,36,-181.7261,-5.0479,78.28,36.41,94.56,0.2987,2.15,Ductile,1.7
mp-1177120,Li10 Mn4 P6 O24,44,-298.4025,-6.7819,114.4,67.3,168.79,0.2541,1.7,Brittle,2.67
mp-1177146,Li10 Bi2 P8 O28,48,-314.5742,-6.5536,132.4,77.6,194.74,0.2549,1.71,Brittle,2.61
mp-1177252,Li32 Ti8 O32,72,-450.5936,-6.2582,90.03,44.87,115.43,0.2863,2.01,Ductile,2.81
mp-1177302,Li20 Fe8 P12 O48,88,-579.4736,-6.5849,127.45,74.07,186.15,0.2566,1.72,Brittle,3.45
mp-1177334,Li8 Mn2 Fe6 B8 O24,48,-336.7216,-7.015,101.55,52.51,134.38,0.2795,1.93,Ductile,2.43
mp-1177388,Li8 Mn2 Fe6 B8 O24,48,-336.7479,-7.0156,106.62,53.82,138.2,0.284,1.98,Ductile,1.86
mp-1177397,Li8 Mn6 Fe2 B8 O24,48,-346.1565,-7.2116,95.46,50.45,128.68,0.2753,1.89,Ductile,1.56
mp-1177450,Li4 Cr1 P2 O8,15,-99.3666,-6.6244,128.1,70.63,179.0,0.2671,1.81,Ductile,1.44
mp-1177472,Li8 Co2 B4 O12,26,-165.6845,-6.3725,98.01,54.73,138.43,0.2646,1.79,Ductile,2.43
mp-1177533,Li6 P10 W8 O48,72,-516.5905,-7.1749,154.9,62.35,164.92,0.3225,2.48,Ductile,3.34
mp-1177612,Li6 Mn2 P2 C2 O14,26,-177.5811,-6.83,112.89,59.56,151.95,0.2757,1.9,Ductile,2.77
mp-1177660,Li36 Gd12 O36,84,-615.3399,-7.3255,92.97,51.68,130.8,0.2655,1.8,Ductile,1.39
mp-1177667,Li12 Fe4 P4 C4 O28,52,-346.3371,-6.6603,126.74,65.69,168.04,0.279,1.93,Ductile,2.75
mp-1177859,Li4 Si2 Ni2 O8,16,-97.3958,-6.0872,114.62,57.45,147.67,0.2853,2.0,Ductile,1.14
mp-1177860,Li8 Si4 Ni4 O16,32,-195.0687,-6.0959,114.72,61.4,156.31,0.2729,1.87,Ductile,1.06
mp-1177866,Li4 Sb2 P2 C2 O14,24,-159.1945,-6.6331,103.57,51.33,132.17,0.2873,2.02,Ductile,1.91
mp-1177899,Li2 Mn1 F4,7,-38.2207,-5.4601,58.48,25.26,66.25,0.3112,2.31,Ductile,0.23
mp-1177902,Li8 Mn4 P8 O28,48,-334.2439,-6.9634,116.17,70.45,175.82,0.2478,1.65,Brittle,0.53
mp-1177903,Li8 Mn4 F16,28,-153.5342,-5.4834,59.47,22.57,60.1,0.3316,2.64,Ductile,1.21
mp-1177905,Li16 Mn8 P16 O56,96,-667.0824,-6.9488,103.3,64.2,159.55,0.2426,1.61,Brittle,25.86
mp-1177921,Li4 Mn2 F8,14,-76.8565,-5.4898,63.85,25.04,66.44,0.3266,2.55,Ductile,1.32
mp-1177936,Li8 Mn4 Se8 O24,44,-250.8204,-5.7005,74.37,25.45,68.54,0.3464,2.92,Ductile,2.0
mp-1177942,Li4 Hf4 O10,18,-151.1439,-8.3969,168.19,83.62,215.19,0.2868,2.01,Ductile,1.61
mp-1177943,Li8 Fe4 O8,20,-110.6777,-5.5339,111.52,46.56,122.62,0.3167,2.4,Ductile,1.54
mp-1177954,Li8 Fe4 F16,28,-142.4139,-5.0862,34.57,10.97,29.76,0.3565,3.15,Ductile,1.06
mp-1177965,Li2 Mn3 F8,13,-76.8254,-5.9096,66.22,23.84,63.85,0.3393,2.78,Ductile,1.44
mp-1177989,Li4 Fe6 F16,26,-138.3266,-5.3203,71.89,18.33,50.68,0.3825,3.92,Ductile,1.44
mp-1178101,Li10 Sc9 Fe1 Si20 O60,100,-774.0574,-7.7406,164.23,97.64,244.47,0.2519,1.68,Brittle,2.7
mp-1178166,K8 Li4 Nb4 O16,32,-205.7121,-6.4285,78.07,33.25,87.35,0.3135,2.35,Ductile,3.91
mp-1178391,Cs1 Li1 W1 O4,7,-44.5298,-6.3614,74.98,21.35,58.5,0.37,3.51,Ductile,1.03
mp-1178457,Cs4 Li4 S4 O16,28,-158.2813,-5.6529,54.13,38.14,92.65,0.2147,1.42,Brittle,2.49
mp-1178558,Ba4 Li16 O12,32,-158.5737,-4.9554,61.94,40.99,100.75,0.2289,1.51,Brittle,2.01
mp-1180540,Li4 Sc4 Si8 O24,40,-312.029,-7.8007,167.95,98.7,247.59,0.2543,1.7,Brittle,1.99
mp-1180721,Li4 C1 O4,9,-53.0094,-5.8899,82.13,52.35,129.53,0.2371,1.57,Brittle,2.93
mp-1180938,Li12 Se6 O24,42,-221.0339,-5.2627,83.53,51.15,127.44,0.2457,1.63,Brittle,2.01
mp-1184020,Cs2 Li6 I8,16,-46.5204,-2.9075,16.41,4.83,13.2,0.3659,3.4,Ductile,2.35
mp-1185319,Li2 Cl2,4,-14.7603,-3.6901,22.22,9.78,25.59,0.3081,2.27,Ductile,0.26
mp-1188344,Cs4 Li4 Cl8,16,-56.1896,-3.5118,19.85,8.43,22.15,0.3141,2.36,Ductile,0.35
mp-1188861,Li4 C4 S4 N4,16,-100.3503,-6.2719,46.37,25.94,65.59,0.2642,1.79,Ductile,1.41
mp-1188898,Li2 La2 C4 O12,20,-153.1824,-7.6591,139.69,76.91,194.95,0.2674,1.82,Ductile,2.42
mp-1189974,Li2 La2 C4 N8,16,-129.4464,-8.0904,100.07,55.04,139.54,0.2676,1.82,Ductile,2.77
mp-1190087,Cs4 Li4 I8,16,-45.8449,-2.8653,11.78,3.72,10.1,0.3571,3.17,Ductile,1.64
mp-1190151,Sr6 Li2 Sb2 O12,22,-134.4083,-6.1095,114.57,62.15,157.89,0.2703,1.84,Ductile,1.17
mp-1190195,Li2 In2 W4 O16,24,-163.9699,-6.8321,183.38,58.41,158.42,0.356,3.14,Ductile,2.0
mp-1190404,Sr6 Li2 Nb2 O12,22,-153.5744,-6.9807,123.87,57.98,150.47,0.2975,2.14,Ductile,1.57
mp-1190412,Rb2 Li2 C8 N12,24,-181.8088,-7.5754,50.57,34.19,83.71,0.2241,1.48,Brittle,2.39
mp-1190441,Li4 Sb4 F16,24,-114.9975,-4.7916,99.75,34.51,92.81,0.3449,2.89,Ductile,2.48
mp-1190477,K2 Li2 C8 N12,24,-181.969,-7.582,54.08,37.92,92.21,0.2158,1.43,Brittle,3.3
mp-1190486,Sr6 Li2 Ta2 O12,22,-159.5917,-7.2542,127.2,63.22,162.71,0.2868,2.01,Ductile,1.23
mp-1190687,Cs4 Li8 Cl12,24,-85.7138,-3.5714,22.16,9.29,24.45,0.3161,2.39,Ductile,1.11
mp-1190882,Li2 Lu2 W4 O16,24,-179.1564,-7.4648,180.33,56.11,152.51,0.359,3.21,Ductile,1.9
mp-1190940,Li4 C8 N12,24,-183.5783,-7.6491,69.26,44.21,109.36,0.2369,1.57,Brittle,1.9
mp-1191085,Li2 Y2 W4 O16,24,-182.3733,-7.5989,177.36,52.65,143.72,0.3649,3.37,Ductile,2.09
mp-1191141,Sr3 Li6 Si3 O12,24,-156.3394,-6.5141,114.08,70.59,175.57,0.2435,1.62,Brittle,1.77
mp-1191729,Li2 Ho2 W4 O16,24,-179.0152,-7.459,169.94,53.41,145.03,0.3578,3.18,Ductile,2.13
mp-1192111,Li2 Er2 W4 O16,24,-178.9983,-7.4583,171.39,55.07,149.23,0.3549,3.11,Ductile,2.13
mp-1192153,Li2 Dy2 W4 O16,24,-179.0662,-7.4611,176.85,53.14,144.91,0.3634,3.33,Ductile,2.17
mp-1192391,Rb2 Li4 Cd2 C4 O12 F2,26,-159.0619,-6.1178,80.32,41.26,105.69,0.2807,1.95,Ductile,1.19
mp-1193172,Li8 Mn4 S8 O32,52,-327.7507,-6.3029,112.11,67.24,168.12,0.2501,1.67,Brittle,1.41
mp-1193501,Li4 Fe2 S4 O16,26,-158.9444,-6.1132,117.72,70.7,176.72,0.2498,1.67,Brittle,2.23
mp-1194281,Li4 Co2 S4 O16,26,-155.9262,-5.9972,118.22,69.59,174.52,0.254,1.7,Brittle,2.56
mp-1194740,Li4 Sc4 Ge8 O24,40,-278.3398,-6.9585,146.76,79.15,201.26,0.2714,1.85,Ductile,1.98
mp-1194965,Li8 Th4 As8 O32,52,-351.6466,-6.7624,135.14,62.67,162.85,0.2992,2.16,Ductile,2.32
mp-1194993,Cs8 Li4 Nd4 B8 O24,48,-325.2534,-6.7761,83.25,43.89,112.0,0.2758,1.9,Ductile,2.45
mp-1195055,Rb4 Li24 B8 O24 F4,64,-376.4463,-5.882,72.66,46.88,115.75,0.2345,1.55,Brittle,2.21
mp-1195085,K8 Li4 C12 S12 N12,48,-297.3565,-6.1949,57.79,23.3,61.63,0.3223,2.48,Ductile,5.83
mp-1195211,Li4 Nd4 P16 N32,56,-426.5905,-7.6177,194.23,123.24,305.16,0.2381,1.58,Brittle,3.22
mp-1195536,Cs4 Li20 Mn4 P16 O56,100,-666.4884,-6.6649,108.22,66.47,165.53,0.2451,1.63,Brittle,2.22
mp-1195542,Rb8 Li4 Nd4 B8 O24,48,-326.5476,-6.8031,110.26,54.97,141.42,0.2862,2.01,Ductile,3.01
mp-1195657,Li4 Sb8 F28,40,-191.7897,-4.7947,98.72,36.32,97.06,0.3361,2.72,Ductile,3.24
mp-1195770,Li2 Zr4 As6 O24,36,-258.0325,-7.1676,125.16,64.37,164.85,0.2805,1.94,Ductile,1.74
mp-1195894,K18 Li6 Nd6 B14 O42,86,-570.5272,-6.634,92.19,48.93,124.72,0.2745,1.88,Ductile,2.69
mp-1196213,Li8 Nb8 O24,40,-312.8952,-7.8224,169.41,63.05,168.27,0.3345,2.69,Ductile,2.11
mp-1196828,Na4 Li4 Mg4 P4 O16 F4,36,-221.9099,-6.1642,124.86,81.76,201.34,0.2313,1.53,Brittle,2.21
mp-1196881,Li8 Te4 W4 O24,40,-247.0639,-6.1766,129.51,45.49,122.16,0.3428,2.85,Ductile,2.77
mp-1197163,Li5 Ca9 B7 O21 F2,44,-306.3371,-6.9622,108.33,60.96,153.99,0.2631,1.78,Ductile,4.35
mp-1197768,Ba8 Li4 Al4 C16 N32,64,-496.2693,-7.7542,96.71,57.92,144.84,0.2504,1.67,Brittle,3.85
mp-1197982,K4 Li2 In2 Mo6 O24,38,-243.4134,-6.4056,100.39,35.93,96.31,0.3401,2.79,Ductile,1.57
mp-1198324,Li8 B32 Se4 O60,104,-771.5706,-7.4189,128.23,74.73,187.73,0.256,1.72,Brittle,3.7
mp-1198378,Na8 Li8 Fe8 P8 O32 F8,72,-452.0526,-6.2785,114.45,63.07,159.84,0.2672,1.81,Ductile,2.11
mp-1198519,Li4 Y4 C8 N16,32,-264.6287,-8.2696,92.07,53.13,133.69,0.258,1.73,Brittle,3.02
mp-1198622,Li28 La12 Hf8 O48,96,-701.4588,-7.3069,147.0,68.65,178.2,0.298,2.14,Ductile,2.62
mp-1198740,Li28 Nd12 Zr8 O48,96,-679.5724,-7.0789,142.1,68.81,177.74,0.2915,2.07,Ductile,1.68
mp-1198780,Li8 Sb8 O16,32,-179.5903,-5.6122,77.23,36.78,95.23,0.2945,2.1,Ductile,2.32
mp-1198930,Li4 Ga4 Se8 O24,40,-218.8798,-5.472,81.79,41.47,106.43,0.2831,1.97,Ductile,1.92
mp-1199122,Li24 Ca12 Si24 N48,108,-720.8252,-6.6743,131.37,83.8,207.32,0.237,1.57,Brittle,2.07
mp-1200057,Li28 La12 Sn8 O48,96,-609.933,-6.3535,119.3,56.33,146.0,0.296,2.12,Ductile,1.58
mp-1200250,Na4 Li4 Ni4 P4 O16 F4,36,-210.389,-5.8441,121.15,64.28,163.85,0.2746,1.88,Ductile,1.91
mp-1200615,Li16 Zn4 P8 O32,60,-374.0707,-6.2345,123.58,77.13,191.54,0.2417,1.6,Brittle,2.37
mp-1202176,Li2 Y6 Si4 O16 F4,32,-256.9121,-8.0285,151.32,81.26,206.77,0.2723,1.86,Ductile,1.88
mp-1202217,Rb8 Li8 S8 O32,56,-320.4766,-5.7228,98.25,63.52,156.77,0.2341,1.55,Brittle,3.27
mp-1202325,Li2 Al2 Si8 O20,32,-243.4377,-7.6074,156.61,91.52,229.8,0.2554,1.71,Brittle,2.27
mp-1202801,Li20 P20 O60,100,-670.8146,-6.7081,130.83,86.31,212.25,0.2296,1.52,Brittle,3.17
mp-1202818,Li4 Zr8 As12 O48,72,-516.8904,-7.179,135.44,64.96,168.03,0.2932,2.08,Ductile,2.41
mp-1203004,Li18 Mg6 P8 O32 F6,70,-438.2741,-6.2611,132.2,87.49,215.03,0.2289,1.51,Brittle,2.16
mp-1203394,Li8 Mn4 P8 O28,48,-335.3302,-6.986,127.11,75.51,189.09,0.2521,1.68,Brittle,2.3
mp-1203622,Li8 Te4 Mo4 O24,40,-240.9351,-6.0234,118.95,43.01,115.15,0.3387,2.77,Ductile,2.54
mp-1204402,Li4 Al4 C8 N16,32,-246.5789,-7.7056,118.8,77.89,191.76,0.231,1.53,Brittle,4.9
mp-1205649,Li1 Sc1 Tl2 Cl6,10,-40.2688,-4.0269,36.92,9.19,25.47,0.385,4.02,Ductile,1.03
mp-1205739,Li2 Sn1 F6,9,-43.5557,-4.8395,136.58,48.76,130.73,0.3405,2.8,Ductile,1.28
mp-1205883,Rb2 Li1 Ho1 Cl6,10,-40.523,-4.0523,37.22,10.73,29.36,0.3685,3.47,Ductile,0.97
mp-1206440,Cs2 Li1 Cr1 F6,10,-51.1659,-5.1166,48.74,23.59,60.95,0.2916,2.07,Ductile,1.01
mp-1208633,Sr2 Li2 P2 O8,14,-95.3336,-6.8095,113.01,69.17,172.34,0.2458,1.63,Brittle,1.63
mp-1208634,Sr2 Li2 Cr2 F12,18,-102.8525,-5.714,77.06,31.97,84.25,0.3178,2.41,Ductile,1.05
mp-1208758,Sr6 Li12 Ta4 O22,44,-303.5793,-6.8995,126.44,63.51,163.2,0.2849,1.99,Ductile,1.85
mp-1208770,Sr6 Li12 Nb4 O22,44,-291.626,-6.6279,134.32,63.21,163.93,0.2966,2.12,Ductile,1.95
mp-1209478,Rb4 Li6 Ga2 O8,20,-95.9547,-4.7977,58.63,36.8,91.29,0.2405,1.59,Brittle,1.44
mp-1210400,Na6 Li2 Ti4 F24,36,-204.3641,-5.6768,75.7,34.55,89.96,0.3019,2.19,Ductile,1.3
mp-1210789,Li4 Si2 S6,12,-55.75,-4.6458,51.5,17.62,47.45,0.3465,2.92,Ductile,1.81
mp-1210797,Li4 Mg2 Ge2 O8,16,-94.5038,-5.9065,129.69,75.23,189.12,0.257,1.72,Brittle,1.57
mp-1210860,Li2 Fe2 W2 Cl2 O8,16,-101.0955,-6.3185,98.5,28.78,78.67,0.3669,3.42,Ductile,2.8
mp-1210908,Li4 Lu10 B6 O26,46,-365.227,-7.9397,164.45,86.57,220.95,0.2761,1.9,Ductile,3.37
mp-1210919,Li2 La2 W4 O16,24,-179.6533,-7.4856,152.39,49.91,134.99,0.3524,3.05,Ductile,2.42
mp-1210927,Na6 Li2 Mo4 O16,28,-170.5612,-6.0915,85.34,29.13,78.46,0.3468,2.93,Ductile,2.46
mp-1210934,Li3 Zn3 In3 F18,27,-120.4831,-4.4623,91.77,37.92,99.99,0.3184,2.42,Ductile,1.57
mp-1210935,Li12 Dy12 Te8 O48,80,-528.6056,-6.6076,135.56,71.34,182.09,0.2761,1.9,Ductile,1.37
mp-1210963,Li8 Zn8 Mo12 O48,76,-476.5595,-6.2705,148.52,44.3,120.89,0.3643,3.35,Ductile,2.29
mp-1210989,Li12 Er12 Te8 O48,80,-527.567,-6.5946,166.08,80.74,208.43,0.2908,2.06,Ductile,2.29
mp-1211004,Li2 Sm2 W4 O16,24,-178.8198,-7.4508,164.44,54.28,146.7,0.3513,3.03,Ductile,1.97
mp-1211005,Li2 Tb2 W4 O16,24,-178.9972,-7.4582,166.34,52.78,143.19,0.3565,3.15,Ductile,2.24
mp-1211012,Li4 Y4 Ge4 O16,28,-201.3772,-7.192,129.45,65.16,167.4,0.2845,1.99,Ductile,1.53
mp-1211020,Li4 Ga4 P16 O48,72,-498.2048,-6.9195,138.9,89.65,221.33,0.2344,1.55,Brittle,3.12
mp-1211052,Li8 Fe8 W12 O48,76,-528.651,-6.9559,118.19,40.34,108.66,0.3468,2.93,Ductile,2.1
mp-1211079,Li4 Tb24 B12 O56,96,-782.7122,-8.1533,150.13,75.39,193.74,0.2849,1.99,Ductile,2.78
mp-1211087,Li2 Cd2 Fe2 F12,18,-84.398,-4.6888,83.83,32.34,85.95,0.3291,2.59,Ductile,1.15
mp-1211093,Li2 Ca2 Fe2 F12,18,-97.407,-5.4115,77.11,31.96,84.25,0.3179,2.41,Ductile,1.03
mp-1211098,Li2 Cr2 Cd2 F12,18,-90.3534,-5.0196,86.37,32.37,86.34,0.3334,2.67,Ductile,1.04
mp-1211126,Li2 Sc2 W4 O16,24,-181.5563,-7.5648,194.35,62.38,169.04,0.355,3.12,Ductile,1.7
mp-1211137,Li2 Nd2 W4 O16,24,-178.7711,-7.4488,160.4,52.88,142.92,0.3515,3.03,Ductile,2.22
mp-1211144,Li4 Sm24 B12 O56,96,-779.297,-8.1177,142.22,68.52,177.11,0.2924,2.08,Ductile,2.32
